Primary Partition,Secondary Partition,Timestamp,VIN or ID,Latitude,Longitude,Altitude,Custom 1,Custom 2
USA,Florida,2025-01-08T16:47:34.205Z,a52781,29.18342,-81.05275,0,N431GX,M20P
USA,Florida,2025-01-08T16:47:34.205Z,a747fa,27.26431,-80.84906,100,,
USA,Florida,2025-01-08T16:47:33.001Z,a08604,27.35581,-80.30806,1200,,
USA,Florida,2025-01-08T16:47:32.401Z,a0a303,28.41694,-81.06439,2600,,
USA,Florida,2025-01-08T16:47:33.711Z,a700c3,27.73414,-80.68922,2300,,
USA,Florida,2025-01-08T16:47:33.711Z,acdf34,27.80936,-80.69678,2600,,
USA,Florida,2025-01-08T16:47:33.801Z,a5ae8a,28.67872,-82.40458,4300,,
USA,Florida,2025-01-08T16:47:33.771Z,a73c3b,28.03389,-82.03961,1100,,
USA,Florida,2025-01-08T16:47:33.801Z,a2cd3c,28.78669,-82.4895,2300,,
USA,Florida,2025-01-08T16:47:33.781Z,a863f6,28.964,-81.35264,21000,,
USA,Florida,2025-01-08T16:47:33.781Z,a8fc2e,28.36658,-81.42406,4900,UAL1344,B739
USA,Florida,2025-01-08T16:47:33.191Z,a981bd,27.94244,-80.55756,1400,,
USA,Florida,2025-01-08T16:47:32.601Z,a3a4ae,27.50758,-80.58053,4700,,
USA,Florida,2025-01-08T16:47:33.941Z,aaff68,28.14497,-82.12678,1500,,
USA,Florida,2025-01-08T16:47:33.381Z,a03f1b,28.68336,-80.82372,8500,N115DK,GLST
USA,Florida,2025-01-08T16:47:33.801Z,a9e98f,28.84642,-81.65656,1700,,
USA,Florida,2025-01-08T16:47:33.881Z,aa7816,28.91744,-81.55331,2500,,
USA,Florida,2025-01-08T16:47:33.421Z,0d0e9f,27.97517,-81.12014,7400,LET6227,CL60
USA,Florida,2025-01-08T16:47:33.931Z,a40144,27.70889,-80.65414,3600,,
USA,Florida,2025-01-08T16:47:33.961Z,0ac95a,28.3455,-81.28153,1600,AVA028,A320
USA,Florida,2025-01-08T16:47:34.021Z,a06de6,28.24031,-81.45906,1400,,
USA,Florida,2025-01-08T16:47:34.355Z,a65e3f,29.06389,-81.27358,100,,
USA,Florida,2025-01-08T16:47:34.355Z,000000,26.66719,-80.98019,3000,,
USA,Florida,2025-01-08T16:47:34.001Z,a58a17,28.84331,-81.95336,0,,
USA,Florida,2025-01-08T16:47:33.105Z,a373b7,28.35655,-80.84983,13600,,
USA,Florida,2025-01-08T16:47:33.195Z,ab110a,28.44924,-80.84539,1700,,
USA,Florida,2025-01-08T16:47:33.125Z,000000,28.43774,-80.89793,3100,,
USA,Florida,2025-01-08T16:47:33.115Z,000000,30.69794,-81.37726,21100,,
USA,Florida,2025-01-08T16:47:33.185Z,000000,30.55571,-81.14933,10000,,
USA,Florida,2025-01-08T16:47:31.595Z,000000,28.70564,-81.01883,6500,N322HA,C402
USA,Florida,2025-01-08T16:47:33.735Z,ac4e08,28.83242,-81.76285,3900,,
USA,Florida,2025-01-08T16:47:32.305Z,000000,27.94301,-80.57007,900,,
USA,Florida,2025-01-08T16:47:33.845Z,ac3ca5,29.55676,-82.18016,2600,,
USA,Florida,2025-01-08T16:47:33.855Z,a868d4,28.42269,-81.57825,5400,,
USA,Florida,2025-01-08T16:47:33.875Z,ac9c57,29.03135,-82.0997,1900,,
USA,Florida,2025-01-08T16:47:33.985Z,a10f87,28.80261,-81.94439,800,,
USA,Florida,2025-01-08T16:47:33.945Z,a2376e,28.70887,-81.43359,2500,,
USA,Florida,2025-01-08T16:47:33.875Z,a32734,29.81908,-81.247,2500,,
USA,Florida,2025-01-08T16:47:33.955Z,a24d41,28.689,-81.95098,2500,,
USA,Florida,2025-01-08T16:47:32.275Z,000000,27.94223,-80.55809,1400,,
USA,Florida,2025-01-08T16:47:33.405Z,000000,30.73589,-80.55587,23300,,
USA,Florida,2025-01-08T16:47:34.005Z,a58a17,28.84329,-81.95336,0,,
USA,Florida,2025-01-08T16:47:33.375Z,a03f1b,28.68339,-80.82374,8500,,
USA,Florida,2025-01-08T16:47:34.065Z,ad1514,29.07478,-81.02958,5400,,
USA,Florida,2025-01-08T16:47:34.035Z,a07f4d,29.095,-81.3598,1600,,
USA,Florida,2025-01-08T16:47:34.095Z,a5d7b0,28.98136,-82.22538,2000,,
USA,Florida,2025-01-08T16:47:34.471Z,000000,26.67156,-81.35608,1900,,
USA,Florida,2025-01-08T16:47:34.471Z,000000,27.13644,-80.19497,800,,
USA,Florida,2025-01-08T16:47:34.471Z,000000,26.41111,-80.54906,3000,,
USA,Florida,2025-01-08T16:47:34.472Z,000000,26.23194,-79.57906,6500,,
USA,Florida,2025-01-08T16:47:34.472Z,000000,26.41961,-81.77503,4000,,
USA,Florida,2025-01-08T16:47:33.361Z,000000,27.01583,-80.90789,5800,,
USA,Florida,2025-01-08T16:47:33.391Z,000000,30.73614,-80.55756,23300,,
USA,Florida,2025-01-08T16:47:33.621Z,a12f9b,28.79425,-81.26039,800,,
USA,Florida,2025-01-08T16:47:33.401Z,a3f7f8,29.24531,-81.53756,21000,,
USA,Florida,2025-01-08T16:47:33.231Z,acb497,27.1125,-80.69175,8100,,
USA,Florida,2025-01-08T16:47:33.371Z,000000,26.59606,-81.02267,7100,,
USA,Florida,2025-01-08T16:47:34.021Z,a449e5,28.42914,-82.12356,24000,,
USA,Florida,2025-01-08T16:47:34.071Z,ad1514,29.07469,-81.02961,5400,,
USA,Florida,2025-01-08T16:47:34.111Z,ad2ad5,27.94264,-81.76922,400,,
USA,Florida,2025-01-08T16:47:34.191Z,a70a8c,28.60186,-81.81425,3000,,
USA,Florida,2025-01-08T16:47:34.101Z,ab8560,27.98847,-80.30308,12500,,
USA,Florida,2025-01-08T16:47:34.621Z,a64034,29.64689,-81.20297,500,,
USA,Florida,2025-01-08T16:47:31.661Z,000000,26.34717,-81.24217,14800,,
USA,Florida,2025-01-08T16:47:33.541Z,000000,26.50753,-81.47181,18700,,
USA,Florida,2025-01-08T16:47:33.391Z,a9eecc,27.31981,-80.87383,2200,,
USA,Florida,2025-01-08T16:47:33.601Z,000000,27.05014,-81.30967,5500,,
USA,Florida,2025-01-08T16:47:33.631Z,000000,27.01086,-81.40806,15000,,
USA,Florida,2025-01-08T16:47:33.631Z,000000,27.09467,-81.35328,5600,,
USA,Florida,2025-01-08T16:47:32.361Z,000000,26.50156,-78.80439,23000,,
USA,Florida,2025-01-08T16:47:34.201Z,a68d17,28.90264,-80.96092,1700,,
USA,Florida,2025-01-08T16:47:34.141Z,aafb25,27.30392,-80.36772,2300,,
USA,Florida,2025-01-08T16:47:34.201Z,ab3626,27.44689,-80.65103,5600,,
USA,Florida,2025-01-08T16:47:33.861Z,a12133,28.49,-81.49481,2200,,
USA,Florida,2025-01-08T16:47:33.861Z,a868d4,28.42269,-81.57819,5400,,
USA,Florida,2025-01-08T16:47:34.181Z,a06b1a,28.87028,-81.53961,3500,LFA681,PA44
USA,Florida,2025-01-08T16:47:34.201Z,a91057,29.29722,-81.20219,1600,,
USA,Florida,2025-01-08T16:47:34.221Z,ab113e,29.4625,-81.183,300,,
USA,Florida,2025-01-08T16:47:34.291Z,a75617,28.73711,-81.89086,7500,N572CP,SR22
USA,Florida,2025-01-08T16:47:34.261Z,a0a02f,28.18236,-80.60833,2600,N13986,
USA,Florida,2025-01-08T16:47:33.731Z,000000,28.43739,-80.89786,3100,N8376A,PA44
USA,Florida,2025-01-08T16:47:34.535Z,a21417,29.04855,-80.94992,100,,
USA,Florida,2025-01-08T16:47:34.205Z,a91057,29.29725,-81.2022,1600,,
USA,Florida,2025-01-08T16:47:34.205Z,a70dc8,29.69395,-82.14389,5100,,
USA,Florida,2025-01-08T16:47:32.345Z,000000,30.76822,-82.26097,7000,,
USA,Florida,2025-01-08T16:47:34.225Z,ab113e,29.4625,-81.18305,300,,
USA,Florida,2025-01-08T16:47:34.195Z,ab1c63,29.45532,-81.21422,1000,,
USA,Florida,2025-01-08T16:47:34.195Z,a70a8c,28.60191,-81.81426,3000,,
USA,Florida,2025-01-08T16:47:34.685Z,a64034,29.64687,-81.20298,500,,
USA,Florida,2025-01-08T16:47:34.005Z,a07093,28.71802,-81.67382,900,,
USA,Florida,2025-01-08T16:47:34.285Z,ae4cf4,29.14352,-82.07377,2900,,
USA,Florida,2025-01-08T16:47:34.385Z,a21fca,28.6797,-82.00184,15300,,
USA,Florida,2025-01-08T16:47:34.405Z,a2b66c,28.68463,-81.58313,1200,,
USA,Florida,2025-01-08T16:47:34.425Z,a368b2,28.97246,-81.14835,1100,,
USA,Florida,2025-01-08T16:47:33.685Z,a8dcba,28.48018,-80.77784,1000,,
USA,Florida,2025-01-08T16:47:34.095Z,a8e071,28.84254,-81.39898,2500,,
USA,Florida,2025-01-08T16:47:32.535Z,000000,30.402,-81.91542,4600,,
USA,Florida,2025-01-08T16:47:33.701Z,000000,29.05389,-81.28392,1200,,
USA,Florida,2025-01-08T16:47:34.291Z,a65681,28.40797,-82.21864,3500,,
USA,Florida,2025-01-08T16:47:34.311Z,a5cb05,27.96867,-81.99286,1000,,
USA,Florida,2025-01-08T16:47:34.341Z,a46310,28.44231,-81.18669,7400,DAL2019,A321
USA,Florida,2025-01-08T16:47:34.411Z,a8fa72,28.78317,-81.29069,1600,LFA535,P28A
USA,Florida,2025-01-08T16:47:34.321Z,a66c51,27.98928,-82.01122,0,,
USA,Florida,2025-01-08T16:47:34.391Z,ad67bf,29.22553,-81.5035,4100,,
USA,Florida,2025-01-08T16:47:34.441Z,a67ca0,29.29011,-81.12731,900,,
USA,Florida,2025-01-08T16:47:34.461Z,a52101,28.107,-80.62789,300,,
USA,Florida,2025-01-08T16:47:34.401Z,a23b25,28.8405,-81.55097,900,,
USA,Florida,2025-01-08T16:47:34.411Z,a69237,27.42222,-80.25069,1500,,
USA,Florida,2025-01-08T16:47:32.601Z,000000,26.22492,-78.99064,22000,,
USA,Florida,2025-01-08T16:47:32.631Z,000000,25.92228,-78.75553,20000,,
USA,Florida,2025-01-08T16:47:33.461Z,a2a10b,27.50117,-80.26186,3000,,
USA,Florida,2025-01-08T16:47:33.551Z,a32f02,27.34242,-81.28183,5500,,
USA,Florida,2025-01-08T16:47:34.361Z,a8116a,28.44669,-80.77508,2500,,
USA,Florida,2025-01-08T16:47:33.921Z,000000,27.41036,-81.69775,5500,,
USA,Florida,2025-01-08T16:47:34.401Z,a790ca,28.44375,-82.12522,6000,,
USA,Florida,2025-01-08T16:47:34.491Z,ab151d,27.53575,-81.85294,3000,,
USA,Florida,2025-01-08T16:47:34.511Z,a9ea6a,28.53825,-81.35136,400,,
USA,Florida,2025-01-08T16:47:34.561Z,ad5017,27.62358,-81.62178,18000,,
USA,Florida,2025-01-08T16:47:34.955Z,000000,28.72472,-81.36697,0,,
USA,Florida,2025-01-08T16:47:34.955Z,000000,27.69347,-80.01861,0,,
USA,Florida,2025-01-08T16:47:33.961Z,a24293,28.75233,-81.66267,1900,,
USA,Florida,2025-01-08T16:47:33.951Z,a24d41,28.689,-81.95094,2400,,
USA,Florida,2025-01-08T16:47:33.741Z,0c6060,27.78608,-81.00097,10100,BWA482,B38M
USA,Florida,2025-01-08T16:47:34.621Z,a21e5c,29.11425,-81.35667,3000,,
USA,Florida,2025-01-08T16:47:34.001Z,a093fc,27.35733,-80.8285,2000,,
USA,Florida,2025-01-08T16:47:34.761Z,acc0bd,29.08278,-82.19406,3500,,
USA,Florida,2025-01-08T16:47:34.761Z,ac9c57,29.03181,-82.09983,1900,,
USA,Florida,2025-01-08T16:47:34.601Z,a1a019,28.32928,-80.68664,1100,,
USA,Florida,2025-01-08T16:47:34.405Z,a23b25,28.84046,-81.55095,900,,
USA,Florida,2025-01-08T16:47:34.435Z,a3f7f8,29.24668,-81.53777,21000,,
USA,Florida,2025-01-08T16:47:34.425Z,a23000,28.91953,-81.65219,200,,
USA,Florida,2025-01-08T16:47:34.445Z,a67ca0,29.29012,-81.12737,900,,
USA,Florida,2025-01-08T16:47:34.005Z,a474cd,29.23853,-82.28986,2100,,
USA,Florida,2025-01-08T16:47:34.515Z,a6e70c,29.01273,-82.11231,2300,,
USA,Florida,2025-01-08T16:47:34.565Z,c05bc8,29.14635,-81.31706,18900,,
USA,Florida,2025-01-08T16:47:33.815Z,000000,29.05383,-81.28381,1200,,
USA,Florida,2025-01-08T16:47:32.675Z,000000,27.50023,-80.26129,3000,,
USA,Florida,2025-01-08T16:47:34.445Z,a39720,29.69743,-81.89725,3400,,
USA,Florida,2025-01-08T16:47:34.455Z,a61443,29.70149,-81.67049,2000,,
USA,Florida,2025-01-08T16:47:34.515Z,a69e28,29.53044,-81.45954,3000,N5252J,C172
USA,Florida,2025-01-08T16:47:33.915Z,a94d27,28.8137,-81.67678,3000,,
USA,Florida,2025-01-08T16:47:33.265Z,a75617,28.73639,-81.89119,7500,,
USA,Florida,2025-01-08T16:47:34.135Z,a6f44f,28.79291,-81.89119,3400,,
USA,Florida,2025-01-08T16:47:34.055Z,000000,28.18268,-80.60816,2600,,
USA,Florida,2025-01-08T16:47:34.055Z,000000,28.19883,-80.64712,3600,,
USA,Florida,2025-01-08T16:47:34.555Z,a6d505,28.8142,-81.79566,300,,
USA,Florida,2025-01-08T16:47:33.955Z,000000,28.27838,-80.6094,18100,,
USA,Florida,2025-01-08T16:47:35.017Z,000000,28.72483,-81.36691,0,,
USA,Florida,2025-01-08T16:47:34.675Z,abff3b,29.95244,-81.35911,1100,,
USA,Florida,2025-01-08T16:47:34.695Z,ad4f1c,29.48016,-81.39727,1200,,
USA,Florida,2025-01-08T16:47:35.162Z,000000,27.47653,-81.34972,0,,
USA,Florida,2025-01-08T16:47:35.162Z,000000,27.30933,-82.20461,6000,,
USA,Florida,2025-01-08T16:47:34.041Z,a3ad2d,28.71886,-82.12986,7000,,
USA,Florida,2025-01-08T16:47:33.911Z,acc147,27.64975,-81.95814,5500,,
USA,Florida,2025-01-08T16:47:33.111Z,000000,25.63331,-79.47311,19000,,
USA,Florida,2025-01-08T16:47:34.801Z,a78d13,28.52828,-81.57211,3500,,
USA,Florida,2025-01-08T16:47:34.001Z,a8ea50,28.14097,-81.76822,800,,
USA,Florida,2025-01-08T16:47:34.041Z,a07f4d,29.09494,-81.35983,1600,,
USA,Florida,2025-01-08T16:47:34.791Z,a92f6f,28.71944,-81.07264,1500,LFA548,
USA,Florida,2025-01-08T16:47:34.851Z,aa6cf1,28.78167,-81.18142,800,N771CA,P28A
USA,Florida,2025-01-08T16:47:34.881Z,ab14f5,29.22117,-81.16953,3000,,
USA,Florida,2025-01-08T16:47:34.341Z,000000,27.948,-82.41675,5000,,
USA,Florida,2025-01-08T16:47:34.941Z,a0129b,28.01764,-82.18656,1900,,
USA,Florida,2025-01-08T16:47:34.221Z,000000,29.1205,-81.41286,300,,
USA,Florida,2025-01-08T16:47:34.951Z,ad00b6,28.89697,-81.66664,4500,,
USA,Florida,2025-01-08T16:47:32.875Z,000000,27.62677,-80.45918,2300,,
USA,Florida,2025-01-08T16:47:34.175Z,a3ad2d,28.71875,-82.12986,7000,,
USA,Florida,2025-01-08T16:47:34.115Z,000000,28.14565,-80.65211,4000,,
USA,Florida,2025-01-08T16:47:34.155Z,000000,28.13355,-80.71491,3800,,
USA,Florida,2025-01-08T16:47:34.155Z,000000,28.12086,-80.68816,1800,,
USA,Florida,2025-01-08T16:47:34.125Z,000000,27.98819,-80.30309,12500,,
USA,Florida,2025-01-08T16:47:34.195Z,000000,28.09946,-80.72801,2100,,
USA,Florida,2025-01-08T16:47:34.765Z,acc0bd,29.08283,-82.19414,3500,,
USA,Florida,2025-01-08T16:47:34.735Z,a69cb1,28.76459,-81.30015,1600,,
USA,Florida,2025-01-08T16:47:34.805Z,abc3eb,29.27711,-81.10118,5500,SFY436,P28A
USA,Florida,2025-01-08T16:47:34.805Z,a78d13,28.52826,-81.57213,3500,,
USA,Florida,2025-01-08T16:47:34.805Z,a0a303,28.41803,-81.06545,2600,,
USA,Florida,2025-01-08T16:47:34.405Z,a0e8c8,30.07597,-81.47448,8000,N158K,BE58
USA,Florida,2025-01-08T16:47:30.706Z,000000,27.78435,-80.63675,6900,,
USA,Florida,2025-01-08T16:47:34.235Z,000000,27.98606,-80.59239,3300,,
USA,Florida,2025-01-08T16:47:34.255Z,000000,27.85375,-80.414,22900,,
USA,Florida,2025-01-08T16:47:34.285Z,000000,27.80047,-80.41197,4200,,
USA,Florida,2025-01-08T16:47:34.305Z,000000,27.90494,-80.59718,4200,,
USA,Florida,2025-01-08T16:47:34.265Z,000000,27.98698,-80.64092,5000,,
USA,Florida,2025-01-08T16:47:34.285Z,000000,28.11877,-80.88667,2500,,
USA,Florida,2025-01-08T16:47:34.105Z,000000,28.84362,-80.79456,0,,
USA,Florida,2025-01-08T16:47:34.355Z,000000,29.12051,-81.41291,300,,
USA,Florida,2025-01-08T16:47:34.875Z,ab14f5,29.22114,-81.1696,3000,ERU813,
USA,Florida,2025-01-08T16:47:34.955Z,a14d12,29.68116,-81.58108,4400,N183NW,C172
USA,Florida,2025-01-08T16:47:33.105Z,000000,27.30392,-80.36739,2300,,
USA,Florida,2025-01-08T16:47:34.365Z,000000,28.0023,-80.82669,0,,
USA,Florida,2025-01-08T16:47:34.455Z,000000,27.70837,-80.65541,3700,,
USA,Florida,2025-01-08T16:47:34.425Z,000000,27.80912,-80.69631,2600,,
USA,Florida,2025-01-08T16:47:27.486Z,000000,31.15253,-82.04724,24400,,
USA,Florida,2025-01-08T16:47:33.245Z,000000,27.5342,-80.54599,2700,,
USA,Florida,2025-01-08T16:47:35.055Z,ab62ad,28.99684,-81.09014,16300,,
USA,Florida,2025-01-08T16:47:35.075Z,a9db01,28.5598,-81.33063,1000,,
USA,Florida,2025-01-08T16:47:35.135Z,a992c9,28.9062,-80.86302,2600,,
USA,Florida,2025-01-08T16:47:35.135Z,a68d17,28.90242,-80.9605,1700,,
USA,Florida,2025-01-08T16:47:35.135Z,a8fc6d,29.68328,-82.16651,4400,,
USA,Florida,2025-01-08T16:47:35.135Z,a24293,28.75278,-81.66264,2000,,
USA,Florida,2025-01-08T16:47:35.025Z,ad8f3e,29.43279,-81.33895,3000,,
USA,Florida,2025-01-08T16:47:33.231Z,000000,25.57892,-79.64467,20200,,
USA,Florida,2025-01-08T16:47:34.201Z,a6bf49,27.16525,-80.36622,3300,,
USA,Florida,2025-01-08T16:47:34.291Z,ae4cf4,29.1435,-82.07369,2900,,
USA,Florida,2025-01-08T16:47:35.111Z,ab5689,29.31661,-81.19481,4900,,
USA,Florida,2025-01-08T16:47:35.161Z,abe124,29.55767,-81.20142,24500,SWA4006,B738
USA,Florida,2025-01-08T16:47:35.141Z,ac2aca,28.73939,-81.098,23000,,
USA,Florida,2025-01-08T16:47:34.641Z,000000,28.67936,-82.83972,15900,,
USA,Florida,2025-01-08T16:47:34.751Z,ac5ba1,27.67283,-80.48733,5100,WCP315,P28A
USA,Florida,2025-01-08T16:47:34.531Z,a7081a,29.28581,-81.97819,19600,DAL664,B752
USA,Florida,2025-01-08T16:47:33.111Z,a31fa0,27.32439,-80.54306,4500,,
USA,Florida,2025-01-08T16:47:34.291Z,ac9d09,28.60544,-82.209,5400,,
USA,Florida,2025-01-08T16:47:35.201Z,aa6f39,29.66842,-81.69039,3500,,
USA,Florida,2025-01-08T16:47:34.491Z,a7fed0,28.09839,-81.55031,7900,NKS3643,A320
USA,Florida,2025-01-08T16:47:34.361Z,a2ef8e,28.10131,-81.78036,3000,,
USA,Florida,2025-01-08T16:47:35.311Z,aa2061,28.09547,-81.35961,800,,
USA,Florida,2025-01-08T16:47:35.231Z,a7bc8e,28.41064,-80.75592,13000,EJA598,C68A
USA,Florida,2025-01-08T16:47:35.311Z,a5e509,27.98611,-80.59153,3200,,
USA,Florida,2025-01-08T16:47:35.291Z,a2983e,28.09175,-81.87403,6500,PO5731,
USA,Florida,2025-01-08T16:47:35.201Z,a8949c,28.546,-80.94456,2800,,
USA,Florida,2025-01-08T16:47:35.341Z,a6c691,28.86911,-81.44353,2400,N53588,
USA,Florida,2025-01-08T16:47:35.311Z,a368b2,28.97275,-81.14833,1100,,
USA,Florida,2025-01-08T16:47:34.525Z,000000,27.88167,-80.90814,2400,,
USA,Florida,2025-01-08T16:47:33.285Z,000000,27.18154,-80.41394,2500,,
USA,Florida,2025-01-08T16:47:34.655Z,000000,28.69223,-79.8764,23300,,
USA,Florida,2025-01-08T16:47:33.315Z,000000,27.61279,-80.60356,1000,,
USA,Florida,2025-01-08T16:47:34.885Z,a7081a,29.28516,-81.97789,19600,,
USA,Florida,2025-01-08T16:47:30.706Z,000000,27.50714,-80.58122,4700,,
USA,Florida,2025-01-08T16:47:33.465Z,000000,27.73487,-80.68924,2300,,
USA,Florida,2025-01-08T16:47:33.425Z,000000,27.32406,-80.54381,4500,,
USA,Florida,2025-01-08T16:47:35.215Z,ab6c94,28.25551,-81.40646,3000,,
USA,Florida,2025-01-08T16:47:35.205Z,a0e8c8,30.07539,-81.4741,8000,N158K,BE58
USA,Florida,2025-01-08T16:47:35.305Z,a8c4a9,29.97069,-81.86662,2500,,
USA,Florida,2025-01-08T16:47:35.235Z,a9e22e,29.87247,-81.24097,19000,JRE736,C25B
USA,Florida,2025-01-08T16:47:34.665Z,000000,27.78718,-81.00219,10100,,
USA,Florida,2025-01-08T16:47:34.695Z,000000,27.97627,-81.12068,7400,,
USA,Florida,2025-01-08T16:47:33.505Z,000000,27.46763,-80.62279,4500,,
